file,fat tree,rail only,HyperX,DragonFly+
gpt_13B-world_size1024-tp16-pp2-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False,490350334468096,490350334468096,245346588684288,491306861223936
gpt_13B-world_size1024-tp16-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False,281064898568192,281064898568192,140640762843136,281384677548032
gpt_13B-world_size1024-tp16-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False,177148843786240,177148843786240,88657084416000,177301243822080
gpt_13B-world_size1024-tp32-pp2-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False,1006557864157184,1006557864157184,503426785718272,1007080374820864
gpt_13B-world_size1024-tp32-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False,578868191174656,578868191174656,289533280391168,579071656861696
gpt_13B-world_size1024-tp32-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False,365393764155392,365393764155392,182753502724096,365513204826112
gpt_13B-world_size1024-tp8-pp2-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False,235083424358400,235083424358400,117751938887680,236910662410240
gpt_13B-world_size1024-tp8-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False,132925695729664,132925695729664,66576968732672,133479438229504
gpt_13B-world_size1024-tp8-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False,83243534647296,83243534647296,41714907086848,83462519259136
gpt_13B-world_size128-tp2-pp4-ep1-gbs4096-mbs2-seq2048-MOE-False-GEMM-False-flash_attn-False,19473349215232,19473349215232,9783975952896,19709755917312
gpt_13B-world_size2048-tp16-pp2-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False,980704244580352,980704244580352,490609484947456,982619085914112
gpt_13B-world_size2048-tp16-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False,562131799916544,562131799916544,281246719557632,562772359266304
gpt_13B-world_size2048-tp16-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False,354298903920640,354298903920640,177319161364480,354604312166400
gpt_13B-world_size2048-tp32-pp2-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False,2013117605265408,2013117605265408,1006779710480384,2014163565068288
gpt_13B-world_size2048-tp32-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False,1157737472868352,1157737472868352,579045474574336,1158144949501952
gpt_13B-world_size2048-tp32-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False,730788225613824,730788225613824,365545094397952,731027455606784
gpt_13B-world_size2048-tp8-pp2-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False,470173832232960,470173832232960,235410023137280,473831800094720
gpt_13B-world_size2048-tp8-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False,265855229247488,265855229247488,133129239199744,266964633141248
gpt_13B-world_size2048-tp8-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False,166489334218752,166489334218752,83420935847936,166928435904512
gpt_13B-world_size256-tp4-pp4-ep1-gbs4096-mbs1-seq2048-MOE-False-GEMM-False-flash_attn-False,69621477017600,69621477017600,34866981422080,69871106263040
gpt_13B-world_size256-tp4-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True,112926076700672,112926076700672,56519735428096,113178348357632
gpt_13B-world_size512-tp16-pp2-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False,245173379411968,245173379411968,122707891492864,245650748878848
