file,fat tree,rail only,HyperX,DragonFly+
gpt_13B-world_size1024-tp16-pp2-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,1827154165760,1827154165760,1042048860160,2740731248640
gpt_13B-world_size1024-tp16-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,510708940800,510708940800,299243520000,766063411200
gpt_13B-world_size1024-tp16-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,154476216320,154476216320,94133944320,231714324480
gpt_13B-world_size1024-tp32-pp2-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,959121981440,959121981440,584464957440,1438682972160
gpt_13B-world_size1024-tp32-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,278082355200,278082355200,173801472000,417123532800
gpt_13B-world_size1024-tp32-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,88557486080,88557486080,52581007360,132836229120
gpt_13B-world_size1024-tp8-pp2-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,3568576757760,3568576757760,1951565414400,5352865136640
gpt_13B-world_size1024-tp8-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,978635980800,978635980800,539014348800,1467953971200
gpt_13B-world_size1024-tp8-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,287645368320,287645368320,161800519680,431468052480
gpt_13B-world_size128-tp2-pp4-ep1-gbs4096-mbs2-seq2048-MOE-False-GEMM-False-flash_attn-False_dp_only,456707276800,456707276800,267601920000,685060915200
gpt_13B-world_size2048-tp16-pp2-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,3657883975680,3657883975680,2000405299200,5486825963520
gpt_13B-world_size2048-tp16-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,1023420661760,1023420661760,563680911360,1535130992640
gpt_13B-world_size2048-tp16-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,310168780800,310168780800,174469939200,465253171200
gpt_13B-world_size2048-tp32-pp2-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,1920120913920,1920120913920,1095068958720,2880181370880
gpt_13B-world_size2048-tp32-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,557255229440,557255229440,326516736000,835882844160
gpt_13B-world_size2048-tp32-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,177812275200,177812275200,108354355200,266718412800
gpt_13B-world_size2048-tp8-pp2-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,7144137031680,7144137031680,3809276190720,10716205547520
gpt_13B-world_size2048-tp8-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,1961109749760,1961109749760,1053330432000,2941664624640
gpt_13B-world_size2048-tp8-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,577555660800,577555660800,314722713600,866333491200
gpt_13B-world_size256-tp4-pp4-ep1-gbs4096-mbs1-seq2048-MOE-False-GEMM-False-flash_attn-False_dp_only,467046236160,467046236160,273659904000,700569354240
gpt_13B-world_size256-tp4-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_dp_only,472331059200,472331059200,276756480000,708496588800
gpt_13B-world_size512-tp16-pp2-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,911789260800,911789260800,555621580800,1367683891200
gpt_13B-world_size512-tp16-pp2-ep1-gbs4096-mbs1-seq2048-MOE-False-GEMM-False-flash_attn-False_dp_only,890398310400,890398310400,542586470400,1335597465600
gpt_13B-world_size512-tp16-pp4-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,254353080320,254353080320,158970675200,381529620480
gpt_13B-world_size512-tp16-pp8-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,76629934080,76629934080,45499023360,114944901120
gpt_13B-world_size512-tp32-pp2-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,478622515200,478622515200,314096025600,717933772800
gpt_13B-world_size512-tp32-pp4-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,138495918080,138495918080,95215943680,207743877120
gpt_13B-world_size512-tp32-pp8-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,43930091520,43930091520,27456307200,65895137280
gpt_13B-world_size512-tp4-pp8-ep1-gbs8192-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,274150195200,274150195200,154209484800,411225292800
gpt_13B-world_size512-tp8-pp2-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,1780796620800,1780796620800,1015610572800,2671194931200
gpt_13B-world_size512-tp8-pp4-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,487399096320,487399096320,285585408000,731098644480
gpt_13B-world_size512-tp8-pp8-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,142690222080,142690222080,86951854080,214035333120
gpt_175B-world_size1024-tp16-pp2-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,22748873097216,22748873097216,12973966688256,34123309645824
gpt_175B-world_size1024-tp16-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,5807643033600,5807643033600,3402915840000,8711464550400
gpt_175B-world_size1024-tp16-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,1511736213504,1511736213504,921214255104,2267604320256
gpt_175B-world_size1024-tp32-pp2-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,11483744305152,11483744305152,6997906685952,17225616457728
gpt_175B-world_size1024-tp32-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,2958368440320,2958368440320,1848980275200,4437552660480
gpt_175B-world_size1024-tp32-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,783034613760,783034613760,464926801920,1174551920640
gpt_175B-world_size1024-tp8-pp2-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,45291990417408,45291990417408,24769057259520,67937985626112
gpt_175B-world_size1024-tp8-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,11512609505280,11512609505280,6340929454080,17268914257920
gpt_175B-world_size1024-tp8-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,2972335472640,2972335472640,1671938703360,4458503208960
gpt_175B-world_size2048-tp16-pp2-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,45542264537088,45542264537088,24905925918720,68313396805632
gpt_175B-world_size2048-tp16-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,11638061137920,11638061137920,6410025861120,17457091706880
gpt_175B-world_size2048-tp16-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,3035375861760,3035375861760,1707398922240,4553063792640
gpt_175B-world_size2048-tp32-pp2-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,22989961691136,22989961691136,13111462526976,34484942536704
gpt_175B-world_size2048-tp32-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,5928338325504,5928338325504,3473635737600,8892507488256
gpt_175B-world_size2048-tp32-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,1572234854400,1572234854400,958080614400,2358352281600
gpt_175B-world_size2048-tp8-pp16-ep1-gbs8192-mbs1-seq2048-MOE-False-GEMM-False-flash_attn-False_dp_only,1566069227520,1566069227520,874796482560,2349103841280
gpt_175B-world_size2048-tp8-pp2-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,90672614866944,90672614866944,48346921598976,136008922300416
gpt_175B-world_size2048-tp8-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,23070366498816,23070366498816,12391310131200,34605549748224
gpt_175B-world_size2048-tp8-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,5968075161600,5968075161600,3252134707200,8952112742400
