topology,value,count,pct_of_topology_nonzero,total_nonzero_topology,num_files_topology
Dragonfly+,1.0,7424,26.851851851851855,27648,8
Dragonfly+,4.0,3840,13.88888888888889,27648,8
Dragonfly+,5.0,16384,59.25925925925925,27648,8
Fat Tree,1.0,7424,26.851851851851855,27648,8
Fat Tree,2.0,14336,51.85185185185185,27648,8
Fat Tree,4.0,768,2.7777777777777777,27648,8
Fat Tree,6.0,5120,18.51851851851852,27648,8
HyperX,1.0,7424,26.851851851851855,27648,8
HyperX,3.0,17472,63.19444444444444,27648,8
HyperX,4.0,2624,9.49074074074074,27648,8
HyperX,5.0,128,0.4629629629629629,27648,8
