topology,value,count,pct_of_topology_nonzero,total_nonzero_topology,num_files_topology
Dragonfly+,1.0,78016,26.832489544353948,290752,111
Dragonfly+,4.0,43072,14.813999559762273,290752,111
Dragonfly+,5.0,169664,58.35351089588377,290752,111
Fat Tree,1.0,78016,26.832489544353948,290752,111
Fat Tree,2.0,173248,59.58617653532908,290752,111
Fat Tree,4.0,6976,2.3992956196346027,290752,111
Fat Tree,6.0,32512,11.182038300682368,290752,111
HyperX,1.0,78016,26.832489544353948,290752,111
HyperX,3.0,187136,64.3627558881796,290752,111
HyperX,4.0,24064,8.276469293418446,290752,111
HyperX,5.0,1536,0.5282852740479859,290752,111
