file,fat tree,DragonFly+,HyperX
gpt_7B-world_size512-tp4-pp8-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,6333084991488,6333084991488,6333084991488
gpt_13B-world_size128-tp2-pp4-ep1-gbs4096-mbs2-seq2048-MOE-False-GEMM-False-flash_attn-False_tp_only,9500267905536,9500267905536,9500267905536
gpt_7B-world_size512-tp4-pp4-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,10693924358144,10693924358144,10693924358144
gpt_7B-world_size1024-tp4-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,12666169982976,12666169982976,12666169982976
gpt_7B-world_size512-tp8-pp8-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,14617943474176,14617943474176,14617943474176
gpt_7B-world_size512-tp4-pp2-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,18967852750848,18967852750848,18967852750848
gpt_7B-world_size64-tp4-pp2-ep1-gbs2048-mbs1-seq2048-MOE-False-GEMM-False-flash_attn-False_tp_only,20461376373504,20461376373504,20461376373504
gpt_13B-world_size512-tp8-pp8-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,20701391355904,20701391355904,20701391355904
gpt_7B-world_size1024-tp4-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,21387848716288,21387848716288,21387848716288
gpt_7B-world_size512-tp8-pp4-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,24380308981760,24380308981760,24380308981760
gpt_7B-world_size2048-tp4-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,25332339965952,25332339965952,25332339965952
gpt_7B-world_size128-tp4-pp4-ep1-gbs4096-mbs1-seq2048-MOE-False-GEMM-False-flash_attn-False_tp_only,25867498684928,25867498684928,25867498684928
gpt_22B-world_size512-tp8-pp8-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,27762766381056,27762766381056,27762766381056
gpt_7B-world_size1024-tp8-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,29235886948352,29235886948352,29235886948352
gpt_13B-world_size512-tp8-pp4-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,32954552682496,32954552682496,32954552682496
gpt_13B-world_size256-tp4-pp4-ep1-gbs4096-mbs1-seq2048-MOE-False-GEMM-False-flash_attn-False_tp_only,34561109263360,34561109263360,34561109263360
gpt_7B-world_size256-tp4-pp4-ep1-gbs2048-mbs1-seq8192-MOE-False-GEMM-False-flash_attn-False_tp_only,36565146403840,36565146403840,36565146403840
gpt_7B-world_size1024-tp4-pp2-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,37935705501696,37935705501696,37935705501696
gpt_7B-world_size512-tp16-pp8-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,42948742594560,42948742594560,39044311449600
gpt_13B-world_size1024-tp8-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,41402782711808,41402782711808,41402782711808
gpt_7B-world_size512-tp8-pp2-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,42200743286784,42200743286784,42200743286784
gpt_7B-world_size2048-tp4-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,42775697432576,42775697432576,42775697432576
gpt_22B-world_size512-tp8-pp4-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,45457416390656,45457416390656,45457416390656
gpt_7B-world_size1024-tp8-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,48760617963520,48760617963520,48760617963520
llama_65B-world_size512-tp8-pp8-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_tp_only,52568022843392,52568022843392,52568022843392
gpt_13B-world_size512-tp16-pp8-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,60790140026880,60790140026880,55263763660800
